raw_tag,suggested_allowed_trade
70MM INSULATION IN SUBS,UNMAPPED
APPLIANCES,UNMAPPED
All Sub- Contractors Note,UNMAPPED
All Sub-contractors Note,UNMAPPED
All Sub-contractors Note responsibility for applicable package . Propose for sampe room as part of works,UNMAPPED
All Subcontractors Note,UNMAPPED
All sub-contractors Note,UNMAPPED
Angle supports,Structural Steel
As above,UNMAPPED
Bike Stands,Landscaping
Blcokwork,Masonry
Blinds / Curtains : Specialist,UNMAPPED
Block- Bricklayer,Masonry
Blocklayer,Masonry
Blocklaying,Masonry
Blocklaying / Fire Stopping,Masonry
Blocks + Mortar only,Masonry
Blockwork,Masonry
Builders Work,Groundworks
Builders Works,Builders Works - UNMAPPED
Captenter,Joinery
Carpenter,Joinery
Carpenter + Partitions & Ceilings,Drywall / Partitions
Carpenter 2nd Fix,Joinery
Carpenter Carcassing,Joinery
Carpentry,Joinery
Changed to 23.05,UNMAPPED
Conc + Fmwk + Reinf,Concrete + Formwork
Conc + Fmwk / Floor Screeds,Concrete + Formwork
Concrete & Formwork,Concrete + Formwork
Concrete / Formwork Contractor,Concrete + Formwork
Concrete / Formwork Contractor -ARCH,Concrete + Formwork
Concrete / Formwork Contractor / MC,Concrete + Formwork
Design : All Subcontractors with Design Responsibility,UNMAPPED
Ditto,UNMAPPED
EDPM,Waterproofing
Electrical,Electrical
Evo Geo Enquiry,UNMAPPED
Ext Windows and Doors,Joinery
Ext. Windows & Doors,Glazing
External Timber Door,Joinery
FASCIA / SOFFIT/ RAINWATER DISPOSAL,Facade
Fall Arrest System,UNMAPPED
Fascia & Soffit,Facade
Fencing,External Works
Fireproofing,Fireproofing - UNMAPPED
Fitted Furniture,Joinery
Fitted Wardrobes,Joinery
Flat Roof / Paraper / Carpennter,Roofing
Flat Roof Finishes,Roofing
Flat Roofing,Roofing
Flat Roofing + Copings,Roofing
Flat Roofing / Blocklayer,Roofing
Flat Roofing / Flashngs,Roofing
Floor / Wall Finishes,Flooring
Floor Finishes : Linoleum,Flooring
Floor Finishes: PVC Heavy Duty  Flooring,Flooring
Floor Finishes: PVC Heavy Duty  Flooring  - Cover slips,Flooring
Floor Finishes: PVC Heavy Duty  Flooring  -skirtings,Flooring
Floor Painting,Painting
Floor finishes + Main Contractor,Flooring
Formwork,Concrete + Formwork
Formwork / Groundworker,Concrete + Formwork
G'works,UNMAPPED
GEM,UNMAPPED
Gorundworks,Groundworks
Grounds,Groundworks
Groundwork,Groundworks
Groundworker,Groundworks
Groundworker / muck away,Groundworks
Groundworks,Groundworks
Groundworks + RC package + Block Package Note,Groundworks
Groundworks / Conc & Fmwk,Groundworks
Groundworks / Formwork,Concrete + Formwork
Groundworks / Formwork  / Tempoary Works,Groundworks
Groundworks / Formwork  / muck away,Groundworks
Groundworks / Formwork Note,Groundworks
Groundworks / Muck Away,Groundworks
Groundworks / disposal,Groundworks
Gutters / Downpipes,Plumbing
Hollowcore,Concrete + Formwork
Hollowcore / Coring,Concrete + Formwork
IPS Panelling,Joinery
Internal Signage : HSE spec,UNMAPPED
Keymore Principal Quants,UNMAPPED
Kitchens Units,Joinery
Landscaping,Landscaping
Landscaping / Groundworks,Landscaping
Lean to Roof,Roofing
MC + Piling Note,Groundworks
MC +Piling Note,Groundworks
MC +Piling Note (Piling Contractor to advise Requirements ),Groundworks
Mastic,Waterproofing
Mech,Please provide the BOQ TAG you would like me to classify.
Mechanical,Mechanical
Mechanical / Plumbing Contractor (exclusive of Main Package ),Mechanical
Mechanical / Sanitary Fittings,Plumbing
Metal Work,Structural Steel
Metalwork,Structural Steel
Muck Away,Groundworks
Muck away,Groundworks
PC Sum,UNMAPPED
Paint finish  taken,Painting
Painting,Painting
Partitions & Ceilings,Drywall / Partitions
Partitions & Ceilngs,Drywall / Partitions
Partitions + Ceilings + Render,Drywall / Partitions
Partitions + Ceilings + Render -,Drywall / Partitions
Partitions + Ceilings + Render - KWP,Drywall / Partitions
Partitions + Ceilings + render,Drywall / Partitions
Partitions / Ceilngs / Render,Drywall / Partitions
Paving,External Works
Paving - Walkway support,External Works
Piling,Groundworks
Piling / Radon Note,Groundworks
Piling / groundworks note,Groundworks
Piling Note,Groundworks
Precast Concrete Stairs,Concrete + Formwork
Precast Floors,Concrete + Formwork
Precast Stairs,Concrete + Formwork
Precast ~~~: Hollowcore,Concrete + Formwork
Radon,Waterproofing
Review + close section after Phoenix Price Arrives Monday 4*/3/24  expected,UNMAPPED
Roof Finishes,Roofing
Roof Tiling - Carpenter,Roofing
Roofing,Roofing
Roofing Package : Ancillaries,Roofing
Steelwork,Structural Steel
Structural Steel,Structural Steel
Structural Steel - Intumesent Paint,Structural Steel
Structural Steel - Intumesent paint,Structural Steel
Structural Steel / Carpenter,Structural Steel
Structural Steel / Painter,Structural Steel
TENDER ADJUST AS SOME OF THESE ARE LINKED TO PRECAST PILES : THE NUMBERS ARE OFF THE CHARTS,Concrete + Formwork
Tanking,Waterproofing
Temp Works : All Subcontractors with Temp Works  Responsibility,UNMAPPED
Testing,UNMAPPED
Testing: Conc + Fmwk,Concrete + Formwork
Tiled Roofing - Carpenter,Roofing
"Tiler - Labour Only include for adhesive, grout and trims",Tiling
Tiler Bath seal,Tiling
Tiling,Tiling
Timberframe,Joinery
Trade,Please provide the BOQ TAG you would like to classify.
Unknown,UNMAPPED
Window Protection,Joinery
áá,UNMAPPED
